Codigo_Punto,Latitud,Longitud,Fuerza_Comercial
33096,6.772018,-74.798590,VALE+
63875,0.6705532,-77.5365017,VALE+
25666,5.72367309,-72.93831387,REVAL
62212,4.5720763,-74.1342726,VALE+
75931,1.2853995,-77.4699179,VALE+
36243,4.94932944,-74.5942355,VALE+
64071,5.635186,-73.528276,REVAL
74402,6.1426411,-75.1851233,VALE+
77584,1.008831,-75.213925,REVAL
51030,5.0537646,-75.5076959,VALE+
66835,4.70023861,-74.091749,VALE+
74484,4.2054760,-74.6421244,REVAL
77306,7.905032,-72.486410,REVAL
40215,4.561660,-74.140122,VALE+
75910,4.6399337,74.1458055,VALE+
55788,3.5322533,-76.27990833,VALE+
74108,7.1330698,-73.1176693,REVAL
76994,9.4005747,-75.6786514,REVAL
31273,6.37234124,-75.44604322,VALE+
59263,4.6510823,-74.1678333,VALE+
69287,6.2316558,-75.6041427,VALE+
76510,6.1910457,-67.4826254,REVAL
34357,0.8827169,-77.5031918,VALE+
61557,9.73741368,-73.71103994,REVAL
71934,4.8898845,-75.8701753,VALE+
76201,2.924994,-75.279136,REVAL
34950,3.462777,-73.6162738,REVAL
73760,4.5712299,-74.2374381,VALE+
50307,6.279021,-75.546127,VALE+
72141,8.7654096,-75.9028748,REVAL
76062,1.328647,-74.849735,REVAL
29182,7.3653277,-72.6467886,REVAL
36352,6.1706277,-75.5922446,VALE+
69019,5.068091,-75.518641,VALE+
74413,8.759620,-8.759620,REVAL
78397,5.3136338,-73.8089097,VALE+
59669,6.27888888888,-75.5569444444,VALE+
67216,4.161203,-73.650386,REVAL
74708,6.2630530,-75.5629367,VALE+
78244,1.4002637,-77.1241146,VALE+
47543,5.7371544,-72.9145942,REVAL
24358,8.313630,-75.1417569,REVAL
56107,8.75572873,-75.87298974,REVAL
75043,11.0101710,-74.8256251,REVAL
78063,1.6712938,-78.1404483,VALE+
31425,4.74915719,-75.91203241,VALE+
61998,3.854407,-74.929722,REVAL
74435,4.6212225,-74.1488101,VALE+
77539,1.5720489,-75.3265595,REVAL
45346,2.445273,-76.616658,VALE+
65734,5.852051,-76.018687,VALE+
73231,7.1024709,-73.1395304,REVAL
76222,4.7173458,-74.0534860,VALE+
