Codigo_Punto,Aliado,Latitud,Longitud
17543,VALE+,6.17382465,-75.63425294
17034,REVAL,10.9481065,-74.7925517
17033,REVAL,7.11018085,-73.10624471
17032,REVAL,7.12239114,-73.1185185
17031,REVAL,7.11589112,-73.11026834
17030,VALE+,3.45253023,-76.53208196
17029,VALE+,3.45349987,-76.52940407
17028,REVAL,7.08970948,-73.09796286
17027,VALE+,5.0742441,-75.5248892
17026,REVAL,2.9366365,-75.2558134
17025,REVAL,7.83253257,-72.46966867
17024,REVAL,2.9459219,-75.286565
17022,REVAL,5.52406482,-73.35603479
17020,REVAL,5.3667212,-73.5209652
17019,VALE+,3.609,-76.363024
17018,VALE+,4.1621113,-76.17539
17017,REVAL,10.9686141,-74.8024004
17016,REVAL,10.97841277,-74.783001
17015,REVAL,10.97972582,-74.78637297
17014,REVAL,10.98671989,-74.79791142
17013,VALE+,4.55114,-75.6587
17012,REVAL,7.1371167,-73.1286267
17011,VALE+,4.53032699,-75.63350393
17010,VALE+,3.47381534,-76.51924493
17009,REVAL,4.453392,-75.12763
17008,REVAL,4.44427,-75.16427
17006,VALE+,5.06561742,-75.50028637
17005,VALE+,3.41733469,-76.23653704
17004,VALE+,6.15657116,-75.37081885
17003,VALE+,6.4606527,-75.5551001
17002,REVAL,9.30300842,-75.39144408
17001,REVAL,2.523101,-75.31636
17000,VALE+,3.58051785,-76.48804225
16999,REVAL,5.53015763,-73.36872831
16998,REVAL,5.6348315,-73.52963246
16997,REVAL,5.63660774,-73.52446099
16996,REVAL,9.3034283,-75.3919092
16995,REVAL,9.30887534,-75.3831782
17323,REVAL,7.841532,-72.50738
17324,REVAL,7.944565,-72.83298
17325,REVAL,7.3751175,-72.6441329
17326,REVAL,7.37642235,-72.64700679
17327,REVAL,7.37547779,-72.64348506
17329,REVAL,8.235891,-73.35308
17330,REVAL,6.95694749,-71.86190604
17331,REVAL,7.13063371,-73.12485282
17332,REVAL,7.11585275,-73.11244636
17333,REVAL,7.11942766,-73.1244555
17334,REVAL,7.443169,-72.69491
17335,REVAL,7.06013211,-73.085287
17336,REVAL,7.06992146,-73.10366023
17337,REVAL,7.06608399,-73.17016759
17338,REVAL,6.9860734,-73.05080899
17339,REVAL,7.11507528,-73.21751787
17340,REVAL,10.47043723,-73.24956847
17341,VALE+,4.67074293,-74.06300329
16994,REVAL,3.9909884,-73.76753015
16993,VALE+,2.2562934,-77.2487273
16992,VALE+,4.75661639,-74.11579019
16991,VALE+,3.47346577,-76.52720163
16990,VALE+,3.47409135,-76.52171319
16989,VALE+,3.48589971,-76.49427374
16987,REVAL,7.88046,-72.50044
16986,REVAL,10.14576879,-73.96833337
16984,VALE+,6.30259103,-75.56671236
16983,VALE+,6.3044469,-75.58286374
16982,VALE+,6.2821292,-75.5611203
16981,VALE+,6.2465719,-75.5707965
16980,REVAL,8.75620403,-75.88550296
16979,REVAL,2.93874503,-75.25162424
16978,VALE+,2.45822057,-76.58797456
16977,VALE+,2.11277006,-76.98542842
16976,VALE+,2.4608029,-76.643906
16975,VALE+,2.44899129,-76.63120095
16974,VALE+,6.14894755,-75.36818616
16973,REVAL,10.96852567,-74.8046328
16971,REVAL,7.896742,-72.46832
16970,VALE+,5.0611064,-75.5139324
16969,VALE+,5.06641222,-75.51717816
16968,VALE+,6.17451661,-75.33882214
16967,VALE+,6.2458147,-75.57105
16966,VALE+,6.26970429,-75.54669891
16965,VALE+,6.2174426,-75.2432471
16963,REVAL,11.24172063,-74.17679586
16962,REVAL,7.96427482,-74.05213794
16960,VALE+,4.60718144,-74.17173538
16959,VALE+,4.67477741,-75.78315998
16958,VALE+,2.571823,-77.88391
16957,VALE+,3.40631867,-76.53909473
16956,VALE+,3.68450404,-76.30960927
16955,VALE+,5.06145789,-75.49776282
16954,REVAL,2.92732045,-75.27344813
16953,REVAL,11.214333,-74.182943
16952,VALE+,4.097952,-76.20464
17542,REVAL,10.77366632,-74.85755302
18231,REVAL,3.8542362,-74.9300155
17665,REVAL,5.55192499,-73.35214171
17349,VALE+,5.66267764,-75.71212871
17298,REVAL,7.1108142,-73.11550616
17297,REVAL,7.81449,-72.51652
17296,REVAL,7.1132128,-73.1239823
17294,VALE+,3.38902873,-76.54780987
17292,VALE+,3.40571,-76.53728
17291,REVAL,10.40692613,-75.50370331
17290,REVAL,10.40311285,-75.51897165
17289,REVAL,7.9457769,-72.50326639
17288,VALE+,6.18297725,-75.64296456
17287,VALE+,6.24749235,-75.57030207
17285,REVAL,2.94567169,-75.24153171
17283,VALE+,3.54833969,-76.31644982
15403,VALE+,4.84218459,-74.25968089
15401,VALE+,6.26100422,-75.5899326
15400,VALE+,4.2647122,-75.9348539
15572,VALE+,5.0107527,-74.4705028
15558,VALE+,5.9650178,-75.4873105
15744,REVAL,10.45079416,-73.24971837
16838,VALE+,5.0580546,-75.5092082
16837,VALE+,5.072093,-75.51433
16836,VALE+,5.0636713,-75.4852791
16835,VALE+,5.0594746,-75.475162
15555,REVAL,9.71765148,-75.12546856
15870,VALE+,4.26721489,-75.93115262
15553,REVAL,3.53873394,-73.70473587
15869,REVAL,3.54542683,-73.70033776
15552,VALE+,3.4441677,-76.50050667
16053,VALE+,4.33584277,-75.82252603
15550,REVAL,2.93893935,-75.28655804
15548,REVAL,10.4537233,-73.2516093
15547,REVAL,10.46493864,-73.25245552
15545,VALE+,4.534378,-75.67077469
15544,VALE+,4.53271565,-75.67210385
15542,VALE+,3.40857357,-76.34701481
15735,VALE+,7.246628,-76.43752
17385,REVAL,4.44649059,-75.20823305
17384,REVAL,4.4326886,-75.2078736
17383,REVAL,5.7782985,-73.11826811
17382,VALE+,2.4464395,-76.6120238
17381,VALE+,4.08377555,-76.19373955
17380,REVAL,5.53293433,-73.36425237
17379,REVAL,10.31251,-75.40054
17378,VALE+,6.17368664,-75.60973241
17374,REVAL,10.97980337,-74.77656286
17373,VALE+,5.06413183,-75.50208134
17372,VALE+,2.44492977,-76.60561029
17370,REVAL,8.75651566,-75.88601593
17368,VALE+,4.9173531,-74.02660103
17367,VALE+,0.821762,-77.64167
17366,VALE+,1.20447711,-77.27405679
17365,VALE+,1.22736533,-77.28697342
17364,VALE+,4.5426669,-75.6946238
17362,VALE+,1.22897334,-77.28885648
17358,VALE+,3.45353183,-76.52585185
17356,VALE+,3.39092974,-76.55364683
17359,VALE+,3.43971221,-76.52567033
17355,REVAL,11.00320081,-74.80809191
17642,REVAL,7.0648,-73.85651
18577,REVAL,2.19600662,-75.9812981
17641,VALE+,6.31649289,-76.13488784
18141,REVAL,2.5237665,-75.3170748
17537,REVAL,8.79929104,-75.70031668
17536,VALE+,3.00580724,-76.48374691
17535,VALE+,1.19682559,-77.27315691
18575,REVAL,0.4228441,-76.9053069
17534,VALE+,5.22729945,-75.78863803
17533,VALE+,2.44950627,-76.62359904
17532,REVAL,8.758174,-75.88621
17530,VALE+,0.82478839,-77.63897127
17529,VALE+,0.824408611,-77.6359902
17528,VALE+,1.08892765,-77.61926338
17527,VALE+,0.825759166,-77.63907666
17526,VALE+,0.825937,-77.639401
17525,REVAL,7.89985769,-72.4970828
17524,REVAL,7.10085678,-73.10726485
17875,REVAL,9.37438442,-75.7592893
17639,REVAL,8.79031962,-75.11653715
17523,REVAL,5.19991219,-74.74333434
17522,REVAL,5.75177953,-73.5495712
17521,VALE+,6.33483187,-75.5573882
17874,VALE+,4.73043405,-74.43715695
17638,VALE+,10.3870133,-75.48531
17637,VALE+,6.23993083,-75.592669
17636,VALE+,6.03017661,-75.43134906
17635,VALE+,5.06813646,-75.51898036
17634,VALE+,4.8129426,-75.69470378
17633,REVAL,9.30038764,-75.39419713
17632,REVAL,9.16064701,-75.04827161
17631,VALE+,4.20895746,-76.15512547
17630,VALE+,3.42212143,-76.56008251
17629,VALE+,3.3891874,-76.5616476
17627,VALE+,3.76327997,-76.33314885
17626,VALE+,4.09188055,-76.20593571
18309,VALE+,6.15915563,-75.78559986
17625,VALE+,6.37646823,-75.14123035
17624,VALE+,6.2500689,-74.8273598
17623,VALE+,6.1742381,-75.3376019
17622,VALE+,6.16697932,-75.6205331
17621,VALE+,5.05414069,-75.50783114
17620,VALE+,4.67846246,-74.0883337
17619,VALE+,4.69301027,-74.14924735
17618,REVAL,2.94364387,-75.28987735
17616,REVAL,9.24424706,-75.14869978
17615,REVAL,4.9235496,-75.06515337
17614,VALE+,3.527479,-76.29792
17613,VALE+,3.2351238,-76.5107834
17612,VALE+,6.25662468,-75.57341662
17610,VALE+,1.21842367,-77.2780146
17608,REVAL,9.302296,-75.395381
17607,REVAL,9.186328,-75.38283
17606,VALE+,3.2680669,-76.53909263
17605,VALE+,3.53817842,-76.3090799
17604,VALE+,3.5300908,-76.2752147
17603,VALE+,3.46913847,-76.50946608
17602,VALE+,6.31314327,-75.58217288
17601,VALE+,4.60291803,-74.07599463
17600,VALE+,4.5800832,-74.09420035
17599,VALE+,5.06238072,-75.49876004
17598,VALE+,6.22473141,-75.59626539
17597,REVAL,2.94722127,-75.24963592
17596,VALE+,3.5376703,-76.2831004
17595,VALE+,4.80179223,-75.71004797
17594,VALE+,3.42054704,-76.24179635
17593,REVAL,4.141908,-73.63417
17883,REVAL,7.07053565,-73.10554906
17884,REVAL,7.11359159,-73.10923699
17885,REVAL,7.0668332,-73.1693054
18909,REVAL,7.002777,-73.054387
17873,REVAL,5.72475819,-71.99047194
18140,REVAL,5.1523569,-75.03540794
17591,REVAL,10.79547689,-74.91401251
17590,VALE+,4.6569714,-74.15739741
17589,VALE+,4.61519984,-74.18890346
17588,VALE+,3.88102521,-77.06629633
17587,VALE+,3.37157021,-76.53954012
17586,REVAL,3.417205,-76.47696
17585,REVAL,10.3888881,-75.50904369
17584,REVAL,7.88519083,-72.51392241
17583,REVAL,7.88726848,-72.50225969
17582,REVAL,7.87091981,-72.50266695
17581,REVAL,5.9344,-73.61486
17580,REVAL,9.7166146,-75.1201771
17579,VALE+,6.17320491,-75.57880521
17578,VALE+,3.32170474,-76.23329725
17577,VALE+,4.823458,-75.725077
17576,VALE+,4.5686626,-74.22986603
17771,VALE+,6.29631707,-75.55277206
17574,REVAL,7.120338,-73.12332
17572,VALE+,1.21335825,-77.99667395
17571,VALE+,6.15401284,-75.37078013
17570,REVAL,8.7434158,-75.88695838
17569,VALE+,6.26408336,-75.59988698
17568,VALE+,4.63171377,-74.07614248
17567,VALE+,4.73022272,-74.0994238
17566,VALE+,4.67024653,-74.0646585
17565,VALE+,6.13977685,-75.26548558
17118,VALE+,3.2587155,-76.5574145
17117,VALE+,5.0622969,-75.5103897
17116,VALE+,5.04875563,-75.48065499
17115,REVAL,2.9049603,-75.2756027
17113,REVAL,2.93362005,-75.27361404
17112,REVAL,2.93887374,-75.2579099
17111,REVAL,7.372409,-72.6494983
17110,REVAL,7.37277289,-72.64794016
17109,VALE+,4.8023078,-75.703902
17108,REVAL,11.2149436,-74.1902
17107,REVAL,5.5343505,-73.362747
17106,VALE+,4.54527489,-75.67397691
17105,REVAL,10.96429271,-74.8213167
17104,REVAL,10.99358248,-74.80894116
17103,REVAL,11.00638732,-74.79821771
17102,REVAL,10.96553342,-74.83871796
17101,VALE+,6.3075015,-75.5504565
17100,VALE+,4.60649355,-74.0892948
