Codigo_Punto,Latitud,Longitud,Fuerza_Comercial
10071,3.5242686,-76.2848139,VALE+
27830,3.4781525,-76.5164557,VALE+
33446,5.722,-72.923,REVAL
39242,6.5540772,-73.133253,REVAL
47139,7.888730,-72.503209,REVAL
56107,8.75572873,-75.87298974,REVAL
60668,4.141277,-74.884936,REVAL
65315,4.44947833333333,-75.2023866666667,REVAL
67284,6.55187986,-73.129585250,REVAL
69622,3.4533247,-76.5312404,VALE+
70817,5.8787568,-72.9831484,REVAL
72741,4.6841567,-74.0602960,VALE+
76271,4.6325578,-74.4643586,VALE+
77225,6.5669103,-75.5179864,VALE+
78447,3.4459279,-76.5118265,VALE+
27077,3.9860371,-73.76450923,REVAL
33893,4.540476,-75.688713,VALE+
49343,7.1181588,-73.1267084,REVAL
59808,6.3015131,-75.5750904,VALE+
63177,4.60688988,-74.08907088,VALE+
66140,4.569506,-74.230237,VALE+
75043,11.0101710,-74.8256251,REVAL
75296,4.5686933,-74.0885883,VALE+
77803,2.0686712,-77.0536203,VALE+
35654,4.07334009,-76.19864081,VALE+
38749,6.1707994,-75.58613,VALE+
42642,10.958085,-74.803973,REVAL
50325,5.8342181,-73.0351251,REVAL
55302,3.195908,-75.643827,REVAL
62362,4.556938,-74.146207,VALE+
68809,4.301453,-74.450887,VALE+
74773,1.2028634,-77.2676357,VALE+
75920,3.8617217,-76.3860009,VALE+
76209,1.0536459,-77.6777789,VALE+
77934,4.7954480,-75.7435046,VALE+
78961,2.9366928,-75.2687920,REVAL
10194,9.432431,-74.704308,REVAL
18956,6.1738712,-75.3355980,VALE+
27819,6.3440620,-73.3726610,REVAL
34852,7.133808888,-73.105282222,REVAL
43033,5.051895,-75.48921,VALE+
50605,6.2482893,-75.5397707,VALE+
55741,0.6841906,-76.6040818,REVAL
60840,2.063112,-75.787545,REVAL
63983,8.7340789,-75.8672619,REVAL
70366,6.2798333,-75.5923501,VALE+
72282,4.1519904,-73.6357144,REVAL
72448,5.8621960,-75.8223693,VALE+
75486,4.4431975,-75.1779181,REVAL
77562,1.909713,-75.157486,REVAL
78367,10.9244689,-74.7920203,REVAL
24204,3.6811790,-76.3077074,VALE+
31276,7.1720656,-75.7639540,VALE+
48415,4.7281291,-74.0530442,VALE+
58555,4.8095927,-75.6605963,VALE+
60995,4.4453746,-75.1910597,REVAL
65877,5.1491411,-73.6813164,VALE+
73231,7.1024709,-73.1395304,REVAL
75118,3.5142147,-76.3007204,VALE+
76899,1.290048,-75.509563,REVAL
27638,7.93118971,-72.49441135,REVAL
31780,7.081318,-74.6994859,VALE+
38057,10.39084,-75.489701,REVAL
47163,4.7165018,-74.1235294,VALE+
54866,9.1485836,-75.6285235,REVAL
59352,10.3701354,-75.4832036,REVAL
65051,8.311135,-75.144149,REVAL
67259,6.229177,-75.331870,VALE+
